TimeKey,TickerKey,ActionKey,Quantity,Price
T14,TK8,A2,99,100.0
T2,TK4,A2,68,101.5
T84,TK22,A1,137,109.7
T17,TK4,A1,117,104.2
T67,TK14,A1,146,102.60000000000001
T16,TK13,A1,11,100.0
T21,TK4,A2,104,103.5
T30,TK24,A1,156,100.0
T35,TK1,A1,43,100.0
T27,TK16,A2,63,100.0
T39,TK19,A1,60,104.1
T29,TK20,A1,68,100.0
T65,TK9,A1,62,100.0
T63,TK1,A2,102,100.0
T12,TK8,A2,20,100.0
T28,TK16,A2,166,100.6
T42,TK1,A1,170,102.6
T82,TK13,A1,139,104.0
T48,TK5,A2,13,100.0
T30,TK8,A2,117,104.2
T24,TK15,A1,129,107.5
T20,TK19,A1,59,117.5
T34,TK12,A1,156,119.1
T85,TK19,A2,56,127.6
T99,TK25,A1,145,124.39999999999999
T9,TK7,A2,73,116.49999999999999
T20,TK21,A2,58,121.19999999999999
T69,TK5,A2,172,124.6
T1,TK5,A1,28,120.69999999999999
T63,TK20,A2,86,128.6
T14,TK22,A2,175,125.0
T89,TK1,A1,20,126.2
T10,TK16,A1,116,134.0
T69,TK7,A1,67,138.4
T95,TK8,A2,141,130.70000000000002
T43,TK18,A2,74,130.20000000000002
T1,TK15,A2,73,131.60000000000002
T53,TK6,A2,18,124.70000000000002
T46,TK21,A1,148,120.00000000000001
T34,TK1,A1,125,127.60000000000001
T47,TK14,A2,145,133.70000000000002
T28,TK23,A1,170,126.80000000000001
T89,TK19,A1,110,135.60000000000002
T42,TK1,A2,22,138.3
T41,TK11,A1,117,133.4
T73,TK23,A1,141,130.4
T50,TK8,A1,32,140.3
T14,TK16,A2,88,138.20000000000002
T19,TK8,A1,89,135.9
T52,TK9,A2,54,131.0
T45,TK14,A1,39,134.8
T66,TK21,A2,102,133.4
T10,TK14,A2,101,138.1
T76,TK18,A1,200,129.79999999999998
T25,TK24,A1,190,136.89999999999998
T41,TK20,A2,169,131.7
T70,TK21,A1,187,130.29999999999998
T49,TK4,A1,97,133.29999999999998
T37,TK20,A2,99,138.99999999999997
T31,TK10,A2,75,148.79999999999998
T35,TK5,A2,65,150.99999999999997
T97,TK22,A1,91,141.39999999999998
T48,TK17,A2,165,142.99999999999997
T83,TK18,A2,77,141.69999999999996
T75,TK7,A2,164,142.09999999999997
T26,TK19,A2,108,147.69999999999996
T59,TK3,A1,127,154.89999999999995
T22,TK19,A2,108,147.59999999999994
T51,TK14,A1,140,139.19999999999993
